Filename,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Governing Law,Exclusivity,Post-Termination Services
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,Network Build and Maintenance Agreement ,"['AT&T Mobility LLC', 'Commnet Wireless, LLC', 'each of which may be referred to in the singular as a ""Party"" or in the plural as the ""Parties.""', 'Vendor', 'AT&T']","['31  day of July, 2019']",7/31/19,[],New York,[],"[""Upon expiration or termination of this Agreement, but prior to the effectiveness of full termination of the Agreement, AT&T may exercise any rights and remedies available to AT&T under this Agreement, at law or in equity, including AT&T's right to exercise any one or more of the Termination Remedies set forth in the Build Addendum, and Vendor shall, upon the request and at the expense (other than termination in accordance with Subsection (c) hereof) of AT&T:<omitted>(ii) provide reasonable assistance as may be necessary for the orderly, non-disrupted continuation of the Services, (iii) transfer all of the contracts related to the Cell Sites to AT&T<omitted>as contemplated in the Build Addendum and (iv) reimburse AT&T for any AT&T Provided Equipment or other assets that are not installed at a Cell Site and cannot be returned in good working order (based on the acquisition costs plus taxes and shipping costs)."", 'Vendor will maintain and retain the records set forth in Subsection (a) during the term of the Agreement and for three (3) years thereafter (unless a discovery or legal hold request is made with respect to such records, in which case Vendor shall retain such records until AT&T notifies Vendor that such discovery or legal hold request has expired)', ""Vendor shall, at AT&T's option, return to AT&T, or hold for AT&T's disposition, any or all of such material provided by AT&T under this Agreement upon termination of this Agreement or the withdrawal of the material furnished; provided however, that with respect to any scrap produced as a by-product remaining in Vendor's possession at the completion of all Work to be provided at a Cell Site, Vendor shall, at AT&T's option, return to AT&T, or hold for AT&T's disposition, such scrap material for a period of one hundred twenty (120) days following the earlier of Location""]"
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,TURN - KEY MANUFACTURING AGREEMENT,"['FLEXTRONICS ISRAEL LTD.', 'INVASIX LTD.', 'Customer', 'Contractor.']",[],04-01-2011,"['This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.']",Israel,[],"['In the event of termination of this Agreement or a cancellation of a Purchase Order, and/or discontinuance of a Product, or excess materials created by an Engineering Change, Customer agrees to compensate Contractor for unused material inventory which are affected by such termination, cancellation or discontinuance']"
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products),"['Dong-A', 'NeuroBo', 'Dong-A ST Co., Ltd.,', 'NeuroBo Pharmaceuticals, Inc.,']","['September 28, 2018']",9/28/18,[],New York,[],[]
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT,"['Manufacturer', 'Upjohn Inc.', 'Customer', 'Manufacturer and Customer may be referred to herein individually as a ""Party"" or collectively as the ""Parties"".', 'Pfizer Inc.']",['[●]'],[]/[]/[][],"['A Facility Addendum may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be', 'Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be.']",Delaware,"['During the Exclusivity Period, on a Product SKU-by-Product SKU and country-by-country basis within the applicable Territory, Customer shall purchase from Manufacturer, in accordance with the terms and conditions of this Agreement, at least the Exclusive Purchase Requirement of its requirements for such Product SKU in such country; provided, however, that In-Flight or Shared Volume Products shall be excluded from the exclusivity requirements set forth in this Section 2.1(e)(i).', '""Exclusive Purchase Requirement"" means, on a Product SKU-by-Product SKU and country-by country basis within the applicable Territory, (a) in the first two (2) years of the Initial Term, one hundred percent (100%) of Customer\'s total requirements for such Product SKU and (b) in the third (3rd) year of the Initial Term, fifty percent (50%) of Customer\'s total requirements for such Product SKU; provided, however, that (x) such quantities of Product reasonably procured by Customer to qualify a back-up supplier for such Product shall be excluded from the Exclusive Purchase Requirement, and (y) for the avoidance of doubt, Customer may commercialize such quantities of Product procured under (x) above without violating the applicable Exclusive Purchase Requirement or related provisions in Section 2.1(e).', 'In the event of a Triggering Event, Customer\'s Exclusive Purchase Requirement with respect to each and every Product that is the subject of the Triggering Event shall be temporarily suspended until such time as Manufacturer notifies Customer that Manufacturer is able to resume the manufacture and supply of the subject Product(s) on the terms and conditions of this Agreement (such period referred to as the ""Exclusive Purchase Requirement Suspension Period""); provided that, (i) during such Exclusive Purchase Requirement Suspension Period, Customer shall use commercially reasonable efforts to limit its orders for the subject Product(s) to the quantities specified in the last Forecast that preceded the Triggering Event for the applicable period(s) and promptly notify Manufacturer in the event and to the extent that Customer\'s orders exceed such quantities specified in such Forecast and (ii) Customer shall be entitled to take delivery of Product(s) ordered during the Exclusive Purchase Requirement Suspension Period even if such delivery is scheduled for or actually occurs subsequent to the Exclusive Purchase Requirement Suspension Period.', 'Following the Exclusivity Period (and during the Exclusivity Period, with respect to Product SKU quantities in excess of the Exclusive Purchase Requirement in accordance with the preceding sentence), nothing in this Agreement shall prevent Customer or any of its Affiliates from manufacturing Product for itself, or having Product manufactured by a Third Party, including in amounts in addition to the Purchase Orders for Product issued to Manufacturer in accordance with this Agreement.']","['Upon termination of this Agreement by Customer in whole or in part or upon the termination of any Facility Addendum, in each case, pursuant to Section 7.3, 7.4, 7.5 or 7.6, and on a terminated-Product-by-terminated-Product basis, at Customer\'s option and pursuant to Customer\'s instructions, Manufacturer shall provide Customer with sufficient inventory of such terminated Product to ensure business continuity according to then-current terms and pricing (subject to Section 3) until the earlier of: (i) Customer\'s identification of, and securing of Regulatory Approval for, another supplier of such terminated Product or (ii) unless otherwise set forth in the applicable Facility Addendum as the ""Inventory Tail Period"" for such Product, a time period that reflects Customer\'s reasonable needs of such Product as mutually agreed upon by the Parties in good faith.', 'In the event of the expiration of this Agreement or termination of this Agreement in whole or in part (including the termination of any Facility Addendum) by Customer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer may, at its option within ninety (90) days immediately following the effective date of the expiration or termination of this Agreement, purchase any work in process and/or Product Materials that Manufacturer has purchased exclusively for Customer in accordance with this Agreement for the production of any terminated Product.', ""Any Product quarantined at the time of expiration or termination of this Agreement shall be disposed of or destroyed by Manufacturer in accordance with Customer's instructions and at Customer's cost; provided that, to the extent (i) such quarantine is the result of Manufacturer's gross negligence, fraud, willful misconduct or breach of this Agreement or (ii) this Agreement is terminated in whole or in part with respect to such Product (including the termination of the applicable Facility Addendum) by Customer in accordance with Section 7.3, 7.4, 7.5 or 7.6, then Manufacturer shall be responsible for all costs incurred by Manufacturer in connection with disposing and destroying such quarantined Product."", ""The Parties shall reasonably cooperate and mutually agree to facilitate the provision of any additional reasonable Technical Support with respect to the applicable Product or Products to Customer, including assistance through the transfer process, Manufacturer Personnel visits to the Receiving Site and training and troubleshooting during the Receiving Site's first production run of the applicable Product or Products, in each case, as and to the extent reasonably agreed by Manufacturer in each instance (and subject to Sections 2.10(d), 2.10(e) and 2.10(f))."", ""In the event of the termination of this Agreement by Customer in accordance with Section 7.7 or the termination of this Agreement by Manufacturer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer shall purchase at cost all Product Materials purchased in accordance with Customer's Purchase Orders and on reasonable reliance upon Customer's Forecast; provided that Manufacturer uses its reasonable commercial efforts to exhaust existing stocks of such Product Materials prior to the date of<omitted>termination."", 'In the event that Manufacturer or any of its Affiliates, directly or indirectly, sells, assigns, leases, conveys, transfers or otherwise disposes of any Facility (a ""Facility Disposition""), then Manufacturer shall immediately notify Customer of such event and Customer shall be entitled for a period of six (6) months after the receipt of such notice to terminate any Facility Addendum with respect to such Facility for cause immediately upon written notice to Manufacturer and, in the event Customer decides not to terminate the Facility Addendum for cause, Customer shall be entitled for a period of two (2) years (or such longer period in order to obtain approval for manufacture from all applicable Governmental Authorities) after<omitted>receipt of such notice to receive Technical Support at Manufacturer\'s sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.', ""Upon termination or expiration of this Agreement in whole or in part or any Facility Addendum, if requested by Customer within ninety (90) days immediately following the effective date of such expiration or termination of this Agreement and pursuant to Customer's reasonable request and instructions, Manufacturer shall use commercially reasonable efforts to, as applicable, make assignments or partial assignments of such material contracts, licenses, permits, and other material documents, as applicable, in each case subject to any restrictions on assignment, or as may otherwise be set forth in any Contract relating thereto.""]"
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,WHOLESALE MARKETING AGREEMENT,"['S2K', 'S2K Financial LLC', 'Distributor', 'ALPS Distributors, Inc.']",['24t h day of August 2018'],8/24/18,[],Colorado,[],[]
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),"['MediaCo Holding Inc.', 'Programmer', 'Licensee', 'WBLS-WLIB LLC']","['November 25, 2019']",11/25/19,[],Indiana,[],[]
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,MARKETING AND RESELLER AGREEMENT,"['Care G. B. Plus Ltd.', 'Todos Medical Ltd.', 'Todos', 'Reseller']",['20t h day of December 2018'],12/20/18,"['Upon completion of the Initial Term, provided that the Reseller has achieved the Annual Milestones, the term of the Agreement shall be automatically renewed for an additional five (5) years.', 'Thereafter, at the end of each renewal term, the Agreement shall renew for an additional two (2) years unless one party provides the other party with prior written notice of non-renewal at least sixty (60) days prior to the expiration of the then-current term.']",Israel,"['Subject to the terms and conditions of this Agreement, Todos hereby grants the Reseller a non-sublicensable, non-transferable, exclusive right to distribute and sell the Products to Customers in the Territory; provided, however, that Reseller may sub-license or transfer its distribution rights to a subsidiary or affiliate of the Reseller.']","['During the term and for a period of three (3) years following the termination or expiration of this Agreement, the Reseller shall maintain complete books of accounts and records consistent with sound business and accounting principles and practices consistently applied.']"
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,JOINT SUPPLY AND MARKETING AGREEMENT,"['Vertex Energy Operating, LLC', 'Bunker One (USA) Inc.', 'Vertex', 'Bunker One']","['10t h day of January, 2020']",05-01-2020,"['The term of this JSMA shall commence on May 1, 2020 (the ""Commencement Date"") and ends at April 30, 2029 (the ""Term""), with automatic renewals each for a period of five (5) years (a ""Renewal Term"") unless notice is given pursuant to 5.2.']",Alabama,"['During the Term, neither Vertex nor any affiliate of Vertex may sell any Product to any customers for their use as bunker fuel other than pursuant to the terms of this JSMA.', 'It is agreed that only Bunker One will be marketing this JSMA and the JSMA Output towards various customers, but if a Party receives a Nomination (being a written or oral request by/from a customer to a Party stating delivery place, delivery date and window etc.) or any other communication from a customer regarding the supply of Product (either spot or whole cargo) in the Area, the Party is obliged to forward the Nomination to Bunker One and refer the customer to Bunker One.', 'All sales towards customers for bunker fuel will be carried out exclusively by Bunker One in accordance to the terms set forth herein.', 'All sales towards customers for bunker fuel will be carried out exclusively by Bunker One in accordance to the terms set forth herein. As such all communication with customers shall go via Bunker One unless otherwise is specific written agreed in advance.']",['In the event of a termination in accordance to clause 5.2 it is agreed that both parties agree to unwind and minimize costs and exit the JSMA as soon as practicably possible not exceeding 120 days.']
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,PRODUCT SALE AND MARKETING AGREEMENT,"['Calm.com, Inc.,', 'Each of Calm and XSPA may be referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Calm', 'XpresSpa Group, Inc.', 'XSPA']","['12th day of November, 2018']",11-12-2018,"['Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.']",New York,"['Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither XSPA nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products (other than the Products), including online or in any Store in the Territory, without the express prior written consent of Calm.', 'Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither Calm nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products in any retail location located in an airport other than in collaboration with XSPA, without the express prior written consent of XSPA.']","[""Upon termination or expiration of this Agreement, Calm (at its sole expense) may engage a third party to audit XSPA's inventory of any and all Product Collateral then on hand at each Store and XSPA shall promptly return or dispose of such inventory as instructed by Calm at Calm's sole expense."", 'Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, Calm shall have a right of first refusal to expand the rights and obligations described in this Agreement to any Stores outside the Territory (the ""ROFR"").', 'If any such insurance is on a ""claims made"" basis, XSPA shall maintain coverage thereunder for a period of at least two (2) years following the termination of this Agreement.', 'In addition, if Calm does not provide XSPA with instructions within twenty (20) days of the termination or expiration of this Agreement, XSPA shall be permitted to dispose of any inventory of any and all Product Collateral then on hand at each Store.']"
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,OUTSOURCING AGREEMENT,"['the Customer', 'ESPACIO INFORMATION TECHNOLOGY, SA.', 'EIT', 'SILICON SMELTERS << Pty >> Ltd']","['1st day of January, 2009,']",01-01-2009,['It is established by calendar year and renewed tacitly every year.'],Spain,[],[]
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,COLOGUARD® PROMOTION AGREEMENT,"['Exact', 'Exact Sciences Corporation', 'Pfizer and Exact may each be referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Pfizer', 'Pfizer Inc.']","['August 21, 2018']",8/21/18,[],New York,"['Subject to compliance by Pfizer with the terms of this Section 3.2(d), during the Term, Exact agrees (A) not to enter into any new binding arrangement with any media vendor for Advertising of the Product without the written consent of Pfizer, which consent shall not be unreasonably withheld, (B) not to meet with any advertising agency or media vendor to discuss any Advertising proposals for content development and creative direction of the Product, without providing Pfizer with a reasonable opportunity for a representative of Pfizer present and participate and (C) to promptly inform Pfizer if it enters into any arrangement with any advertising agency with respect to the Product.', 'Commencing on the Launch Date, Exact and its Affiliates hereby grant to Pfizer and its Affiliates, on an exclusive basis for the Co-Promote Field (except as to Exact and its Affiliates), and Pfizer accepts, the right and obligation to Promote and Detail the Product in the Territory during the Term jointly with Exact, in accordance with the terms and conditions of this Agreement, all Applicable Laws and the applicable Annual Marketing Plan.']","['Exact shall use commercially reasonable efforts to provide six (6) month notice prior to the expiry of the Term, or in the case of termination by Pfizer under Section 8.4, within the applicable notice period in advance of the effective date of such termination, that Exact intends for Pfizer to continue providing Advertising services for the Product pursuant to Section 3.2(d).', 'After the expiration of the Term or termination pursuant to Section 8.4 by either Party or Section 8.6 by Exact, based on cumulative Incremental Laboratory Services Revenue achieved during the Term or up to the termination date, Exact agrees to pay Pfizer the applicable royalty payment set forth below for twelve (12) consecutive Calendar Quarters following the expiration of the Term (the ""Tail Period""); provided, however, the Tail Period shall be reduced to the number of full Calendar Quarters completed during the Term if less than twelve (12) Calendar Quarters if either Party terminates the Agreement without cause pursuant to Section 8.4 or Exact terminates as a result of a Change of Control pursuant to Section 8.6.']"
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,CO-PROMOTION AGREEMENT,"['Dova Pharmaceuticals, Inc.', 'Dova', 'Valeant Pharmaceuticals North America LLC', 'Valeant', 'Dova and Valeant are each referred to individually as a ""Party"" and together as the ""Parties"".']","['September 26, 2018']",9/26/18,[],[* * *],"['During the Term, subject to the terms and conditions of this Agreement, Dova hereby grants to Valeant the right, on a co-exclusive basis (solely with Dova and its Affiliates), to Detail and promote the Product in the Specialty in the Territory in the Field, and to conduct the Valeant Activities and the activities of the institutional account management team (pursuant to and subject to the terms of Section 4.1.5) for the Product in the Territory in the Field in accordance with the terms and conditions of this Agreement.']",[]
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"['Promoter', 'BookingEntertainment.com', 'VNUE, Inc.', 'VNUE']","['September 10, 2015']",09-10-2015,"['At any time prior to the end of the Term, the Parties may agree in writing to extend the Agreement for successive One (1) Year periods (the ""Renewal Terms"") under the same conditions set forth herein.']",Nevada,[],[]
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"['MMT', 'SIGA', 'SIGA and MMT are sometimes referred to individually as a ""Party"" and collectively as the ""Parties"". RECITALS', 'MERIDIAN MEDICAL TECHNOLOGIES, INC.', 'SIGA TECHNOLOGIES, INC.']","['May 31, 2019']",5/31/19,"['This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.']",New York,"['As of the Effective Date, there are no rights with respect to the Product or the SIGA Trademarks in the Territory granted by SIGA, in each case, to any Person or entity other than MMT;', 'Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.', 'The license granted by SIGA to MMT under this Section 2.1(a) will be exclusive even as to SIGA with respect to rights to Promote the Product in the Field in the Territory, except as set forth in Section 2.4 below.']","['Upon termination of this Agreement pursuant to this ARTICLE 11, for all Customer Contracts then in force in the Territory, MMT shall either (i) promptly exercise its rights to terminate such Customer Contracts pursuant to termination rights accruing from the occurrence of a termination of this Agreement or otherwise or (ii) upon timely written request of SIGA, use Commercially Reasonable Efforts to assign any Customer Contract identified in such notice then in force to SIGA.', 'Promoter will maintain a record of each Safety Report received, including relevant source documents, and a record of each Safety Report reported to SIGA for a minimum period of ten (10) years after the expiration or termination of this Agreement and, if requested, will provide these and any other information requested by SIGA.']"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,  RESELLER AGREEMENT,"['Bravatek Solutions, Inc.', 'the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):', 'i3 ICS', 'Reseller', 'i3 Integrative Creative Solutions, LLC', 'BVTK']","['7th day of April, 2017']",04-07-2017,['Contract is renewable for 1 year extension by amendment to this agreement.'],Virginia,"['During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.']","['During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.']"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,WALABOT-HOME RESELLER AGREEMENT,"['Inde Living Holdings, Inc.', 'Reseller', 'Vayyar Imaging Ltd.', 'Vayyar and Reseller shall be referred to individually as ""Party"" and collectively as ""Parties"".', 'Supplier']",['31 day of July 2019'],7/31/19,"['Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"").']",New York,[],"[""In addition to the foregoing, if, at the time of termination of this Agreement, Reseller shall have additional Product units in its inventory and is able to sell them to Customers and/or End Users (including, without limitation, any Product units for which Reseller has or is obligated to pay the Supplier the purchase price therefor but which have not yet been delivered to the Reseller by Supplier, which Supplier hereby agrees to either deliver as otherwise contemplated by this Agreement as if it had not terminated or to refund the purchase price therefor), then the licenses and appointments described in Section 2 shall remain in effect with respect to such unsold Product units (and such Section 2 shall not terminate) until the earlier of (i) the date on which the last Product in Reseller's inventory is sold to a Customer and/or End User, or (ii) 1 year from the date of the termination of this Agreement.""]"
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,LICENSE AND RESELLER AGREEMENT,"['EHAVE, INC.', 'COMPANION HEALTHCARE TECHNOLOGIES CORP', 'Ehave', 'CHT']","['October 30, 2018']",10/30/18,[],"Ontario, Canada","['Notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in Sections 2(a) and 2(b) shall become non-exclusive if: (i) at any time during the Term hereof, CHT breaches Section 2(d) as determined by arbitration in accordance with Section 19(c) or by a final non-appealable judgment of a court of competent jurisdiction; or (ii) at any time after November 1, 2010 CHT fails to achieve annual revenues of $500,000.', 'Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.', 'Subject to Section 2(e), the foregoing appointment is exclusive such that Ehave shall not appoint any other Person to, nor may Ehave itself, sell or resell the use of the Ehave Companion Solution within the Field of Use anywhere in the Territory.']","['Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT\'s request to CHT\'s End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services"").', ""Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHT's request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other Party's written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.""]"
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,CHANNEL PARTNER RESELLER AGREEMENT,"['iPass', 'Channel Partner', 'IPASS INC.', 'Pareteum Corporation']",['04/25/2018'],4/25/18,"['The Agreement shall automatically renew for successive one (1) year terms (each a ""Renewal Term"") unless either party provides the other party written notification of its intent to terminate the Agreement no later than sixty (60) days prior to the end of the then applicable term.']",California,"['Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPass\' notice and consent.']",[]
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,EVENT SPONSORSHIP AGREEMENT,"['Newegg Inc.', 'Allied Esports International, Inc.', 'Newegg', 'Allied', 'Newegg and Allied are hereinafter referred to jointly as the ""Parties"" and each as a ""Party.""']","['February 1, 2019']",02-01-2019,[],California,"['Allied shall not endorse, or permit the marketing of any other company whose principal business is as an e-commerce provider at or in connection with the Arena.', ""Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of Allied's marketing materials in connection with the Arena where reasonably practicable."", ""In all of Allied's actions and publications (in all media and formats) in connection with the marketing and conducting of the Events, where possible and appropriate, Allied shall where reasonably practicable communicate that Newegg is the exclusive sponsor of the Arena for the technology e-commerce and online retailer categories.""]",[]
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,SPONSORSHIP AGREEMENT,"['Eco Science Solutions, Inc.', 'Sponsor', 'Fruit of Life Productions LLC', 'Promoter']","['1st day of April, 2018 (']",04-01-2018,[],Florida,[],[]
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,ODM SUPPLY AGREEMENT,"[""'the Customer'"", 'ORGANIC PREPARATIONS INC.', ""'the Manufacturer'"", 'AGAPE ATP INTERNATIONAL HOLDING LIMITED']",['15t h day of January 2018'],1/15/18,"['This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.']",England,"['The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.', 'The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.', 'The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.', 'The Manufacturer agrees to give the Customer exclusive rights to the marketing, promotion and sales of the new products should the Customer decide to take on the new products.']",[]
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,Corporate Sponsorship Agreement,"['Freeze Tag Inc.', 'Company', 'Association', 'American Diabetes Association, Inc.']","['March 22, 2018']",3/14/18,[],Virginia,[],[]
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,MASTER SUPPLY AGREEMENT,"['PACTIV LLC', 'Seller and Buyer are referred to individually at times as a ""Party"" and collectively at times as the ""Parties"".', 'Buyer', 'Seller', 'REYNOLDS CONSUMER PRODUCTS LLC']","['November 1, 2019']",11-01-2019,[],Illinois,[],[]
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,GLOBAL MASTER SUPPLY AGREEMENT,"['Buyer', 'on behalf of itself and the Buyer affiliates listed on Attachment C (each a ""Buyer Affiliate"" or ""West/A"" or collectively, ""Buyer Affiliates"").', 'ExxonMobil Chemical Company', 'Seller', 'on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""),', 'West Pharmaceutical Services, Inc.']","['January 10, 2020']",01-01-2019,[],Texas; Singapore; Belgium,[],[]
